class,val_acc,test_acc,delta,abs_delta
497,0.8,0.0,0.8,0.8
204,0.9,0.1,0.8,0.8
679,0.98,0.2,0.78,0.78
898,0.84,0.1,0.74,0.74
201,0.82,0.1,0.72,0.72
982,0.9,0.2,0.7,0.7
130,0.98,0.3,0.6799999999999999,0.6799999999999999
859,0.88,0.2,0.6799999999999999,0.6799999999999999
532,0.84,0.2,0.6399999999999999,0.6399999999999999
263,0.94,0.3,0.6399999999999999,0.6399999999999999
852,0.94,0.3,0.6399999999999999,0.6399999999999999
548,0.94,0.3,0.6399999999999999,0.6399999999999999
198,0.92,0.3,0.6200000000000001,0.6200000000000001
888,0.92,0.3,0.6200000000000001,0.6200000000000001
825,0.8,0.2,0.6000000000000001,0.6000000000000001
903,1.0,0.4,0.6,0.6
250,0.7,0.1,0.6,0.6
218,1.0,0.4,0.6,0.6
74,0.7,0.1,0.6,0.6
698,0.88,0.3,0.5800000000000001,0.5800000000000001
850,0.88,0.3,0.5800000000000001,0.5800000000000001
197,0.98,0.4,0.58,0.58
809,0.76,0.2,0.56,0.56
733,0.76,0.2,0.56,0.56
536,0.76,0.2,0.56,0.56
824,0.86,0.3,0.56,0.56
730,0.96,0.4,0.5599999999999999,0.5599999999999999
738,0.96,0.4,0.5599999999999999,0.5599999999999999
56,0.96,0.4,0.5599999999999999,0.5599999999999999
57,0.96,0.4,0.5599999999999999,0.5599999999999999
494,0.84,0.3,0.54,0.54
196,0.72,0.2,0.52,0.52
978,0.72,0.2,0.52,0.52
631,0.9,0.4,0.5,0.5
414,0.7,0.2,0.49999999999999994,0.49999999999999994
504,0.7,0.2,0.49999999999999994,0.49999999999999994
663,0.78,0.3,0.48000000000000004,0.48000000000000004
440,0.98,0.5,0.48,0.48
843,0.98,0.5,0.48,0.48
609,0.88,0.4,0.48,0.48
151,0.88,0.4,0.48,0.48
916,0.98,0.5,0.48,0.48
650,0.76,0.3,0.46,0.46
516,0.76,0.3,0.46,0.46
968,0.66,0.2,0.46,0.46
231,0.66,0.2,0.46,0.46
601,0.86,0.4,0.45999999999999996,0.45999999999999996
85,0.96,0.5,0.45999999999999996,0.45999999999999996
135,0.96,0.5,0.45999999999999996,0.45999999999999996
393,0.96,0.5,0.45999999999999996,0.45999999999999996
6,0.94,0.5,0.43999999999999995,0.43999999999999995
474,0.84,0.4,0.43999999999999995,0.43999999999999995
834,0.84,0.4,0.43999999999999995,0.43999999999999995
774,0.94,0.5,0.43999999999999995,0.43999999999999995
566,0.84,0.4,0.43999999999999995,0.43999999999999995
605,0.94,0.5,0.43999999999999995,0.43999999999999995
610,0.92,0.5,0.42000000000000004,0.42000000000000004
648,0.92,0.5,0.42000000000000004,0.42000000000000004
703,0.92,0.5,0.42000000000000004,0.42000000000000004
937,0.92,0.5,0.42000000000000004,0.42000000000000004
278,0.82,0.4,0.41999999999999993,0.41999999999999993
265,0.82,0.4,0.41999999999999993,0.41999999999999993
693,0.82,0.4,0.41999999999999993,0.41999999999999993
470,0.82,0.4,0.41999999999999993,0.41999999999999993
90,1.0,0.6,0.4,0.4
578,0.9,0.5,0.4,0.4
264,0.9,0.5,0.4,0.4
19,1.0,0.6,0.4,0.4
753,0.9,0.5,0.4,0.4
861,0.9,0.5,0.4,0.4
80,0.9,0.5,0.4,0.4
700,0.8,0.4,0.4,0.4
452,0.9,0.5,0.4,0.4
406,0.8,0.4,0.4,0.4
608,0.9,0.5,0.4,0.4
706,0.7,0.3,0.39999999999999997,0.39999999999999997
311,0.7,0.3,0.39999999999999997,0.39999999999999997
975,0.7,0.3,0.39999999999999997,0.39999999999999997
435,0.68,0.3,0.38000000000000006,0.38000000000000006
460,0.88,0.5,0.38,0.38
944,0.88,0.5,0.38,0.38
259,0.98,0.6,0.38,0.38
472,0.98,0.6,0.38,0.38
266,0.78,0.4,0.38,0.38
189,0.88,0.5,0.38,0.38
508,0.78,0.4,0.38,0.38
217,0.98,0.6,0.38,0.38
619,0.78,0.4,0.38,0.38
665,0.78,0.4,0.38,0.38
411,0.88,0.5,0.38,0.38
248,0.58,0.2,0.37999999999999995,0.37999999999999995
193,0.58,0.2,0.37999999999999995,0.37999999999999995
837,0.56,0.2,0.36000000000000004,0.36000000000000004
961,0.66,0.3,0.36000000000000004,0.36000000000000004
249,0.86,0.5,0.36,0.36
946,0.96,0.6,0.36,0.36
951,0.86,0.5,0.36,0.36
307,0.96,0.6,0.36,0.36
709,0.86,0.5,0.36,0.36
179,0.76,0.4,0.36,0.36
872,0.86,0.5,0.36,0.36
655,0.86,0.5,0.36,0.36
69,0.96,0.6,0.36,0.36
980,0.96,0.6,0.36,0.36
827,0.76,0.4,0.36,0.36
171,0.96,0.6,0.36,0.36
707,0.96,0.6,0.36,0.36
191,0.86,0.5,0.36,0.36
515,0.86,0.5,0.36,0.36
386,0.64,0.3,0.34,0.34
748,0.64,0.3,0.34,0.34
878,0.84,0.5,0.33999999999999997,0.33999999999999997
897,0.94,0.6,0.33999999999999997,0.33999999999999997
514,0.94,0.6,0.33999999999999997,0.33999999999999997
664,0.44,0.1,0.33999999999999997,0.33999999999999997
617,0.94,0.6,0.33999999999999997,0.33999999999999997
754,0.84,0.5,0.33999999999999997,0.33999999999999997
94,0.94,0.6,0.33999999999999997,0.33999999999999997
428,0.94,0.6,0.33999999999999997,0.33999999999999997
708,0.84,0.5,0.33999999999999997,0.33999999999999997
764,0.74,0.4,0.33999999999999997,0.33999999999999997
864,0.94,0.6,0.33999999999999997,0.33999999999999997
31,0.94,0.6,0.33999999999999997,0.33999999999999997
12,0.94,0.6,0.33999999999999997,0.33999999999999997
441,0.84,0.5,0.33999999999999997,0.33999999999999997
182,0.94,0.6,0.33999999999999997,0.33999999999999997
431,0.94,0.6,0.33999999999999997,0.33999999999999997
