rank,feature_index,feature_name,importance_score
1,969,feature_969,0.0030665093
2,924,feature_924,0.002675782
3,885,feature_885,0.0026293297
4,349,feature_349,0.0026145724
5,673,feature_673,0.0025060708
6,548,feature_548,0.002493921
7,170,feature_170,0.0023748481
8,708,feature_708,0.0023550813
9,441,feature_441,0.002348251
10,827,feature_827,0.002326617
11,445,feature_445,0.002314617
12,145,feature_145,0.0022927437
13,868,feature_868,0.0022819608
14,305,feature_305,0.002276002
15,117,feature_117,0.0022718345
16,197,feature_197,0.0022449465
17,407,feature_407,0.0022049206
18,614,feature_614,0.0021560628
19,294,feature_294,0.0020915167
20,299,feature_299,0.0020873789
21,483,feature_483,0.00205656
22,234,feature_234,0.0020538743
23,8,feature_8,0.002040815
24,977,feature_977,0.0020357412
25,122,feature_122,0.0020300725
26,651,feature_651,0.0020281079
27,714,feature_714,0.0020049477
28,540,feature_540,0.0019870463
29,910,feature_910,0.001979449
30,47,feature_47,0.001973982
31,823,feature_823,0.0019458784
32,686,feature_686,0.0019437053
33,436,feature_436,0.0019424611
34,775,feature_775,0.0019422667
35,702,feature_702,0.0019322006
36,741,feature_741,0.0019165573
37,890,feature_890,0.0018944723
38,215,feature_215,0.0018922457
39,726,feature_726,0.0018844218
40,723,feature_723,0.0018788615
41,932,feature_932,0.0018714836
42,127,feature_127,0.0018592577
43,0,feature_0,0.0018336924
44,696,feature_696,0.001832822
45,78,feature_78,0.001825624
46,792,feature_792,0.0018245322
47,996,feature_996,0.0018205771
48,839,feature_839,0.0018102432
49,404,feature_404,0.0018051002
50,874,feature_874,0.0017994554
51,374,feature_374,0.0017994245
52,805,feature_805,0.0017945116
53,887,feature_887,0.0017935273
54,952,feature_952,0.0017905975
55,873,feature_873,0.0017883264
56,746,feature_746,0.0017836831
57,257,feature_257,0.0017794088
58,433,feature_433,0.00177711
59,202,feature_202,0.0017693683
60,112,feature_112,0.001767598
61,452,feature_452,0.001765583
62,653,feature_653,0.0017652791
63,83,feature_83,0.0017555862
64,210,feature_210,0.0017552653
65,814,feature_814,0.0017437137
66,473,feature_473,0.0017373379
67,267,feature_267,0.0017352842
68,154,feature_154,0.0017348552
69,744,feature_744,0.0017279019
